Phrase	Grammar	Transcription	Translation	Notes
selamat malam			dobry wieczór	
nama			imię	
saya			ja	
orang			osoba; człowiek	
pegawai			pracownik	
maaf			przepraszam	
anda			ty	
siapa			kto	
toko			sklep	
pakaian			ubranie	
ini			to	
isteri			żona	
sekretaris			sekretarka	
Inggeris			angielski; Anglia	
dia			on	
di			w	
kantor			biuro	
bekerja			pracować	
dan			i	
Saudara			pan	
kabar			wiadomość	
apa kabar			co słychać	
siang			południe	
bagaimana			jak	
terima kasih			dziękuję	
juga			także	
sehat			zdrowy	
teman			przyjaciel	
guru			nauczyciel	
Tuan			pan	
murid			uczeń	
Nyonya			pani	
bahasa			język	
wisatawan			turysta	
suami			mąż	
Amerika			amerykański; Ameryka	
toko			sklep	
Jepang			japoński; Japonia	
buku			książka	
pos			poczta	
suami			mąż	
pergi			iść	
minum			pić	
tidur			iść spać	
datang			przybyć	
makan			jeść	
bekerja			pracować	
anak			dziecko	
di mana			gdzie	
tinggal			mieszkać	
kapan			kiedy	
pulang			wracać do domu	
-nya			jego	
dari			z	
Pak			proszę pana	
ayah			ojciec	
meja			stół	
Bu			proszę pani	
anak			dziecko	
