Phrase	Grammar	Transcription	Translation	Notes
adik			młodszy brat; młodsza siostra	
ayam			kura	
bapak			ojciec	
badan			ciało	
baju			kurtka wierzchnia	
batu			kamień	
bébék			kaczka	
bibi			ciocia	
bukan			nie	
bukit			wzgórze; góra	
buku			książka	
candi			świątynia buddyjska lub hinduistyczna	
cantik			ładny	
cempedak			drzewo lub owoc cempedak	
dada			pierś	
dagu			podbródek	
dekat			blisko	
di			w; na	
duduk			siedzieć	
duku			drzewo lub owoc duku	
empat			cztery	
énak			smaczny	
gedé			duży	
gigi			zęby	
ibu			matka	
itik			kaczka	
jambu			drzewo lub owoc jambu	
kantin			stołówka	
kayu			drewno	
kebun			ogród; sad	
kuda			koń	
méja			stół	
monyét			małpa	
muda			młody	
nyaman			przytulny; wygodny	
nyamuk			komar	
pada			u; przy; za	
péndék			krótki; niski	
penyu			żółw	
pepaya			papaja	
puncak			wierzchołek	
tidak			nie	
