Phrase	Grammar	Transcription	Translation	Notes
ayah			ojciec	
atau			albo	
baik			dobry	
bangau			biała czapla	
beliau			on; ona	
bersih			czysty	
dalam			głęboki	
dan			i	
danau			jezioro	
dangkal			płytki; niegłęboki; powierzchowny	
dia			on; ona	
dokter			lekarz	
dosén			wykładowca	
engkau			ty	
hijau			zielony	
ganteng			przystojny	
kalian			wy	
kuat			silny	
institut			instytut	
insinyur			inżynier	
kerbau			bawół	
kotor			brudny	
laci			szuflada	
ladang			pole	nienawadniane
luas			obszerny; szeroki	
mahasiswa			student	
murid			uczeń	
negeri			kraj	
nyonya			pani	
padang			pole; równina	
pandai			mądry; zdolny	
pegawai			urzędnik	
rawa			błoto	
saudara			brat; siostra; towarzysz; obywatel	
saya			ja	
sekolah			szkoła	
siapa			kto	
sungai			rzeka	
surat			list	
tangan			ręka	
tahu			wiedzieć	
tua			stary	
tuan			pan	
universitas			uniwersytet	
Afrika			Afryka	
Asia			Azja	
