Phrase	Grammar	Transcription	Translation	Notes
atap			dach	
bagian			część	
bagian depan			przednia część; front	
dapur			kuchnia	
depan			przód; front; następny	tydzień, miesiąc, rok
gudang			skład; magazyn; spichlerz	
halaman			podwórko	
halaman belakang			podwórko za domem	
jendéla			okno	
ruang tamu			pokój do przyjmowania gości	blisko drzwi wejściowych i przylegający do salonu
ruang keluarga			salon	
kamar tidur			sypialnia	
ruang makan			jadalnia	
kamar mandi			łazienka	
kamar kecil			toaleta	
pagar			płot	
pintu			drzwi; wejście	
pohon			drzewo; krzak	
ruang			przestrzeń; sala; pokój	
sawah			nawadniane pole	
tamu			gość; klient	
tangga			schody; drabina	
untuk			dla; żeby	
WC			toaleta	
sumur			studnia	
beranda			weranda	
teras			taras	
kuali			wok	
wajan			wok	
kompor gas			kuchenka gazowa	
kompor minyak			kuchenka naftowa	
belacan			pasta z krewetek	
trasi			pasta z krewetek	
petai			rodzaj fasoli; parcia speciosa	
ikan asin			ryba solona	
dapur kotor			kuchnia na zewnątrz domu; "brudna kuchnia"	
dapur basah			kuchnia na zewnątrz domu; "mokra kuchnia"	
dapur bersih			kuchnia reprezentacyjna; "czysta kuchnia"	
dapur kering			kuchnia reprezentacyjna; "sucha kuchnia"	
