Phrase	Grammar	Transcription	Translation	Notes
adat			zwyczaj	
akan			będę	
atur			dopilnować, zorganizować	
bak			pojemnik na wodę do mycia	
banyak			dużo	
bawa			zabrać ze sobą, przynieść	
besar			duży	
buka			zdjąć obuwie	
bukan			nie	
cuci			prać; myć	
di samping			obok	
dia			on	
enak			smaczny	
gigi			zęby	
hitam			czarny	
Indonesia			indonezyjski	
jangan			nie	
kakus			ubikacja	
kamar			pokój, izba	
kamar duduk			salon	
kamar makan			jadalnia	
kamar tamu			pokój gościnny	
kamar tidur			sypialnia	
kami			my	
kapan			kiedy	
kecil			mały	
ketan			kleisty ryż	
kita			my	
kueh			ciasto, ciastko	
mandi			brać kąpiel	
masak			gotować	
masuk			wchodzić	
pakai			nosić ubranie	
pembantu			pomocnik; pracownik	
perempuan			kobieta	
perlu			potrzebować szybko	
rumah			dom	
sangat			bardzo	
selop			śliski	
senang			zadowolony	
sepatu			buty, obuwie	
siapa			kto	
sikat			szczoteczka, pędzel	
tamu			gość	
tiba			przybyć	
tuan			pan	
tubruk			po turecku	
tunggu			czekać	
untuk			dla	
