Phrase	Grammar	Transcription	Translation	Notes
pasar			rynek	
di mana			gdzie	
sudah			już	
ia			on	
dia			on	
paling			najbardziej	
énak			smaczny	
berapa			ile	
satu			jeden	
itulah			właśnie tamten	
inilah			właśnie ten	
jadi			w tym czasie	
kasi			dać	
dua			dwa	
kilo			kilogram	
mangga			mango	
ya			tak	
selalu			zawsze	
ramai			zatłoczony	
tak usah			nie warto; to bezużyteczne	
bésok			jutro	
coba			próbować	
cukup			wystarczy	
ribu			milion	
empat			cztery	
mau			chcieć	
lagi			nadal	
kalau			jeśli	
jeruk			cytrus	
manis			słodki	
setengah			połowa	
murah			tani	
juga			również	
datang			przychodzić	
sekali			bardzo	
sebiji			jeden owoc	
besar			duży	
mempunyai			mieć	
anak			dziecko	
orang			osoba	
seorang			jedna osoba	
bernama			nazywać się	
tinggal			stać	
dalam			wewnątrz; w	
séwa			wynajem	
tidak			nie	
jauh			daleki	
dari			z	
kota			miasto	
penjaja			pieszy	
toko			sklep	
tepi			krawędź; margines	
jalan			droga	
banyak			wielu	
pepaya			papaja	
barang			rzeczy; bagaż	
bermacam-macam			różnorodne	
bukan			nie	
pakaian			ubranie	
keperluan			potrzeba	
dapur			kuchnia	
dijualnya			te które on sprzedaje	
misalnya			na przykład	
buah-buahan			owoce	
anggur			winogrona	
pisang			banan	
manggis			mangostino	
salak			salak	
rambutan			rambutan	
jambu			jambo	
nenas			ananas	
nangka			chlebowiec	
tetapi			ale	
durian			durian	
terdapat			znajdować się	
tiap-tiap			wszystkie	
hari			dzień	
berlari			biegać	
belimbing			gwiezdny owoc	
dan lain-lain			i tak dalej	
seperti			na przykład	
negeri			kraj	
Jepang			Japonia	
ramai orang-orang			wiele osób	
apel			jabłko	
