Phrase	Grammar	Transcription	Translation	Notes
Angkatan Laut			Navy	
Angkatan Udara			Air Force	
Angkatan Darat			Army	
Kongres			Congress	
perusahaan komoditas			commodities firm	
dosen			professor	
teologi			theology	
klinik			clinic	
mengantuk			tired	
analis			analyst	
lumayan			so so	
pelobi			lobbyist	
perawat			nurse	
tulis			write	
hapus			erase	
laku(kan)			do	
penduduk			population	
populasi			population	
polisi			police	
pendukung			support	
mahasiswa			student	
kerah			collar	
pernah			ever	
keluar			leave	
tidak pernah			never	
sering kali			many times	
masuk			enter	
Minggu			Sunday	
Senin			Monday	
Selasa			Tuesday	
Rabu			Wednesday	
Kamis			Thursday	
Jumat			Friday	
Sabtu			Saturday	
jenis			kind, type	
akhir pekan			weekend	
bilang			say	
sebelum			before	
gunung			mountain	
tengah hari			noon	
tengah malam			midnight	
eja			to spell	
asia tenggara			Southeast Asia	
tukang			worker, crafter	
ulangi			repeat	
mas			brother	
mbak			sister	
cita-cita			expectations, ideal	
kuno			ancient	
ahli			expert	
kesalahan			mistake	
namun			however	
KBRI			Embassy of Indonesia	
tante girang			sugar mama	
girang			happy	
belum pernah			not yet	
sudah pernah			have (you) ever	
sebelah kiri			left side	
sebelah kanan			right side	
jam dinding			wall clock	
batuk			cough	
menggosok			polish, rub	
menggosok gigi			to brush teeth	
kampus			campus	
makan pagi			breakfast	
makan siang			lunch	
memasak			to cook	
makan malam			dinner	
sehari-hari			everyday	
menggambarkan			to describe	
ciri-ciri			characteristics	
badan			body, organization	
pendek			short	
langsing			slim, slender	
mancung			pointy	
merah muda			pink	
merah tua			maroon, scarlet	
sawo matang			brown	
matang			ripe, mature	
inci			inch	
wajah			face	
hutan			forest, jungle	
beruban			greying	
uban			grey hair	
beratnya			weight	
bercakap-cakap			chat	
deskripsi			description	
fisik			physical	
pemurah			generous	
periang			cheerful	
pemalu			reserved, shy	
kikir			stingy mean; ungenerous.	
jahat			mean	
kasar			rude, rough	
pemarah			bad-tempered	
kikuk			clumsy	
idul fitri			holiday at end of ramadan	
lontong			rice steamed in banana leaf	
ketupat			rice in coconut leaves	
kari			curry	
pecel			vegetables, salad	
selendang			scarf, shawl	
kalkun			turkey	
itik			duck	
buncis			green beans	
perak			silver	
berlian			diamond	
intan			diamond	
subang			earring studs	
lensa kontak			contacts	
kupu-kupu			butterfly	
dasi kupu			bow tie	
kalung			necklace	
gelang			bracelet	
kaos			t-shirt	
kaos kaki			socks	
kaos tangan			gloves	
pakaian dalam			underwear	
gaun			gown	
baju tidur			pajamas	
sandal jepit			flip-flops	
mutiara			pearl	
cincin			ring	
anting-anting			earrings	
bros			pin, brooch	
bendera			flag	
ikat pinggang			belt	
celana panjang			trousers, pants	
seragam			uniform	
kosa kata			vocabulary	
mengundang			invite	
kampung			village, neighborhood (free range)	
memakai			wear	
ruang bawah tanah			basement	
jenggot			beard	
botak			bald	
berombak			wavy	
keriting			curly	
pirang			blonde	
kurus			skinny	
bercukur			to shave	
mencukur			to shave sth	
kompor			stove	
kantor polisi			police station	
kebun binatang			zoo	
sifat			personality, nature, characteristic	
ruangan			room	
kemping			camping	
berkemah			camping	
kemah			tent	
konser			concert	
pengacara			lawyer	
menyelam			scuba diving	
bertinju			boxing	
berselancar			surfing	
memancing			fishing	
mengasuh			to take care of children	
naik			to ascend, ride	
mencat			paint	
kata depan			preposition	
preposisi			preposition	
cucu			grandchild	
nenek moyang			ancestors	
moyang			great grandparent	
keturunan			descendent	
keponakan			nephew, niece	
mertua			parent-in-law	
menantu			son or daughter-in-law	
kaki persegi			square foot	
meter persegi			square meter	
