Phrase	Grammar	Transcription	Translation	Notes
undicesimo			jedenasty	
vi è			jest	
vi sono			są	
il banco			ławka	
i banchi			ławki	
vi è?			czy jest?	
vi sono?			czy są?	
la sala			sala	
il canapè			kanapa	
la stanza			pokój	
il bersellino			portmonetka	
il denàro			pieniądze	
la lira			lira	
molto			dużo	
molto denaro			dużo pieniędzy	
più			więcej	
quanto denaro?			ile pieniędzy?	
il centesimo			centym	
la pagina			stronica	
poco			mało	
meno			mniej	
tanto			tyle	
tanto denaro quanto			tyle pieniędzy, ile	
anche			także	
