Phrase	Grammar	Transcription	Translation	Notes
қайда?			gdzie?
тұру			mieszkać
тұрасыз			mieszkacie
тұрамын			mieszkam
тұрады			mieszka; mieszkają
қарындас			młodsza siostra	dla brata
қашан?			kiedy?
кету			odchodzić; wyjeżdżać
сен қашан Атырауға кетесің?			Kiedy wyjeżdżasz do Atyrau?
бүгін			dzisiaj
болмаса			albo
ертең			jutro
қайту			wracać
қайтамын			wracam
қайт-па-й-мын			nie wrócę
ешқашан			nigdy
мұнда			tutaj
бару			iść; jechać; wyjeżdżać
қайда барасың?			gdzie idziesz?
мектеп			szkoła
мектепке			do szkoły
мектепке барамын			idę do szkoły
Сіздің үйіңіз қайда?			Gdzie mieszkacie?
Сенің үйің қайда?			Gdzie mieszkasz?
үй			dom
үйге			do domu
келу			przychodzić; przyjeżdżać; przybywać
қашан үйге келесің?			kiedy przyjdziesz do domu?
сағат			godzina; czas
бір			jeden
сағат бірде			o pierwszej godzinie
екі			dwa
сағат екіде			o drugiej godzinie
үш			trzy
сағат үште			o trzeciej godzinie
төрт			cztery
сағат төртте			o czwartej godzinie
бес			pięć
сағат бесте			o piątej godzinie
алты			sześć
сағат алтыда			o szóstej godzinie
дүкен			sklep
дүкенге			do sklepu
кеш			wieczór
кешке			wieczorem
кешкі			wieczorny
кешкі сағат сегізде			o ósmej wieczorem
таң			świt
таңертең			rano; poranny
таңертеңгі			poranny
таңертеңгі сағат сегізде			o ósmej rano
бүгін таңертең			dziś rano
түс			południe; obiad
түсте			w południe
түстен кейін			po obiedzie
сая			przyjemny chłód; cień
жай			mieszkanie; dom
саяжай			dacza; willa
саяжайға			na daczę
апа			starsza siostra; ciocia
нағашы апа			ciocia z lini żeńskiej
әпке			starsza siostra
іні			młodszy brat; młodszy krewny z linii ojca
туған іні			rodzony młodszy brat
немере іні			kuzyn ze strony ojca
аға			starszy brat; wujek ze strony ojca
ата			dziadek
әже			babcia
әке			ojciec
шеше			mama
ұл			syn
қыз			córka
