Phrase	Grammar	Transcription	Translation	Notes
열			dziesięć	
오늘			dzisiaj	
우리			my; nasz	
여름			lato	
나라			kraj	
우유			mleko	
이름			imię; nazwa	
일			praca	
형			starszy brat	dla brata
말			mowa; język	
말			koń	
할머니			babcia	
노어			język rosyjski	
로어			język rosyjski	
영어			język angielski	
알림			ogłoszenie	
은행			bank	
하늘			niebo	
내일			jutro	
래일			jutro	
호랑이			tygrys	
요리			danie; potrawa	
료리			danie; potrawa	
미래			przyszłość	
노래			pieśń	
양말			skarpetki	
물			woda	
날			dzień	
힘			siła	
머리			głowa	ludzka
일요일			niedziela	
오리			kaczka	
라면			zupa ramyon	
레몬			cytryna	
해			słońce	
휴일			dzień wolny	
하나님			bóg	
예			tak	
로마			Rzym	
루마니아			Rumunia	
