Phrase	Grammar	Transcription	Translation	Notes
mercator			kupiec	
amicus			przyjaciel	
visitat			odwiedza	
villa			dom	
salutat			pozdrawia	
pecuniam numerat			liczy pieniądze	
argentarius			bankier	
salve!			witaj!	
respondet			odpowiada	
quoque			także	
in lecto recumbit			leży na tapczanie	
cantat			śpiewa	
pavonus			paw	
coquit			gotuje	
laetus			szczęśliwy	
audit			słyszy	
non est			nie jest	
cena			obiad	
expectat			oczekuje	
vituperat			obwinia; przeklina	
portat			niesie	
vinus			winorośl	
gustat			próbuje; kosztuje	
optimus			doskonały	
laudat			chwali	
dominus			pan	
ancilla			niewolnica; służąca	
suaviter			słodko	
delectat			podoba się	
mox			wkrótce	
et			i	
videt			widzi	
cibum consumit			zjada jedzenie	
magnifice			okazale	
cenat			je obiad	
spectat			patrzy	
laetissimus			bardzo szczęśliwy	
paratus			gotowy	
