Phrase	Grammar	Transcription	Translation	Notes
wat			co	
dat			tamto	
daar			tam	
waar			gdzie	
twaalf			dwanaście	
zwart			czarny	
de man			człowiek; mężczyzna	
de tas			teczka	
de kast			szafa	
de wand			ściana	
de kaart			mapa	
de krant			gazeta	
de lamp			lampa	
het raam			okno	
de straat			ulica	
de kamer			pokój	
de tafel			stół	
de appel			jabłko	
de das			krawat	
het dak			dach	
het boek			książka	
het doek			chustka	
de stoel			krzesło	
de broer			brat	
moe			zmęczony	
de boer			wieśniak; rolnik	
de zin			sens	
het tin			cyna	
de lip			warga	
zien			widzieć	
tien			dziesięć	
het kind			dziecko	
de brief			list	
ik			ja	
wit			biały	
dik			gruby	
drie			trzy	
dit			to	
in			w	
niet			nie	
