Phrase	Grammar	Transcription	Translation	Notes
la universităte			na uniwersytecie	
ce			co	
aici			tutaj	
sală de curs			audytorium	
acolo			tam	
bibliotecă			biblioteka	
iată			oto	
uşă			drzwi	
fereastră			okno	
masă			stół	
scaun			krzesło	
lîngă			około	
dulap			szafa	
perete			ściana	
pe			na	
hartă			mapa	
revistă			czasopismo	
caiet			zeszyt	
ziar			gazeta	
lampă			lampa	
tablă			tablica	
creion			ołówek	
carte			książka	
cine			kto	
unde			gdzie	
în			w	
clasă			klasa	
şi			i	
da			tak	
stilou			pióro do pisania	
pix			długopis	
gumă			gumka do ścierania	
servietă			teczka	
bună ziua			dzień dobry	
acasă			w domu	
nu			nie	
student			student	
coleg cu			kolega	czyjś
inginer			inżynier	
la uzină			w fabryce	
ședință			posiedzenie	
la şcoală			w szkole	
mulțumesc			dziękuję	
la revedere			do widzenia	
