Phrase	Grammar	Transcription	Translation	Notes
el reborde	N		pobocze	
la estancia	N		pobyt	
la residencia	N		pobyt	
la sala de espera	NP		poczekalnia	
el viajero	N		podróżnik	
viajar con mucho equipaje	VP		podróżować z dużym bagażem	
viajar con poco equipaje	VP		podróżować z niewielkim bagażem	
el bordo	N		pokład	
la cubierta	N		pokład	
el policía de transito	NP		policjant drogowy	
el puerto	N		port	
la parada de taxis	NP		postój taksówek	
el aventurero	N		poszukiwacz przygód	
atropellar a alguien	VP		potrącić kogoś	
el carnet de conducir	NP		prawo jazdy	
el transeúnte	N		przechodzień	
el guardaequipajes	N		przechowalnia bagażu	
la calle transversal	NP		przecznica	
el compartimiento	N		przedział	
el paso a nivel	NP		przejazd kolejowy	
el paso de peatones	NP		przejście dla pieszych	
el paso subterráneo	NP		przejście podziemne	
pasar el límite de velocidad	VP		przekroczyć dozwoloną prędkość	
pasar la frontera	VP		przekroczyć granicę	
cruzar la frontera	VP		przekroczyć granicę	
el cruce de ferry	NP		przeprawa promem	
la guía	N		przewodnik	
llegar	V		przyjechać; dotrzeć	
la llegada	N		przylot	
adelantar	V		przyspieszać	
apresurar	V		przyspieszać	
la parada	N		przystanek	
el crucero	N		rejs	
la rotonda	N		rondo	
el ciclista	N		rowerzysta	
poner la tienda	VP		rozbić namiot	
estrellarse	V		rozbić się	
el horario	N		rozkład jazdy	
la bifurcación	N		rozwidlenie	
la zanja	N		rów	
el foso	N		rów	
la tienda libre de impuestos	NP		sklep wolnocłowy	
girar a la izquierda	VP		skręcić w lewo	
girar a la derecha	VP		skręcić w prawo	
el atajo	N		skrót	
el cruce	N		skrzyżowanie	
el veraneo	N		spędzanie wakacji letnich	
perder el avión	VP		spóźnić się na samolot	
la gasolinera	N		stacja benzynowa	
la estación	N		stacja; dworzec	
el auxiliar de vuelo	N		steward	
la auxiliar de vuelo	N		stewardessa	
la azafata	N		stewardessa	
los guardacostas	N		straż przybrzeżna	
el callejón sin salida	NP		ślepa uliczka	
la pantalla de salidas	NP		tablica odlotów	
la pantalla de llegadas	NP		tablica przylotów	
la vía	N		tor	
tocar la bocina	VP		trąbić	
mantenerse a la izquierda	VP		trzymać się z lewej strony	
mantenerse a la derecha	VP		trzymać się z prawej strony	
el túnel	N		tunel	
el turista	N		turysta	
el turismo	N		turystyka	
el seguro completo	NP		ubezpieczenie całkowite	
la calle	N		ulica	
la calle de un solo sentido	NP		ulica jednokierunkowa	
las vacaciones	N		urlop	
quedar atrapado en un atasco	VP		utknąć w korku ulicznym	
estar atrapado en un atasco	VP		utknąć w korku ulicznym	
el coche	N		wagon	
el vagón	N		wagon	
el coche restaurante	NP		wagon restauracyjny	
el coche bar	NP		wagon restauracyjny	
el coche cama	NP		wagon sypialny	
las vacaciones	N		wakacje	
el viaje organizado	NP		wakacje zorganizaowane przez biuro podróży	
la maleta	N		walizka	
el taller de coches	NP		warsztat samochodowy	
embarcar	V		wchodzić na pokład	
el viaducto	N		wiadukt	
poner intermitente	VP		włączyć kierunkowskaz	
la carretilla	N		wózek do przewożenia bagażu	
chocar contra	VP		wpaść na; wjechać na	
topar con	VP		wpaść na; wjechać na	
dar un patinazo	VP		wpaść w poślizg	
los baches	N		wyboje	
los bultos	N		wyboje	
bajar del avión	VP		wychodzić z samolotu	
el carril de autobús	NP		wydzielony pas ruchu dla autobusów	
irse	V		wyjechać	
ir	V		wyjechać	
la salida	N		wyjście do samolotu	
el alquiler de coches	NP		wynajem samochodów	
el descanso	N		wypoczynek	
la expedición	N		wyprawa; ekspedycja	
adelantar	V		wyprzedzać	
irse de expedición	VP		wyruszyć na ekspedycję	
irse de viaje	VP		wyruszyć w podróż	
la isla de tránsito	NP		wysepka uliczna	
el extranjero	N		zagranica	
abrocharse el cinturón	VP		zapiąć pasy	
llenar	V		zatankować do pełna	
la salida	N		zjazd	
apartarse a un lado	VP		zjechać na bok	
pinchar la rueda	VP		złapać gumę	
la señalización	N		znak drogowy	
reducir la marcha	VP		zredukować bieg	
los medios de transporte	NP		środki transportu	
el autobús	N		autobus	
el autocar	N		autokar	
el pulman	N		autokar	
el autobús	N		autokar	
el jeep	N		dżip	
el todoterreno	N		samochód terenowy	
el helicóptero	N		helikopter	
el yate	N		jacht	
el ferrocarril	N		kolej	
