Phrase	Grammar	Transcription	Translation	Notes
absoluto	adj		absolute	1000 adj
actual	adj		current (adj)	1000 adj
adecuado	adj		adequate, suitable	1000 adj
alemán	adj		German	1000 adj
amplio	adj		wide, ample, broad	1000 adj
azul	adj		blue	1000 adj
cercano	adj		near	1000 adj
cerrado	adj		closed	1000 adj
civil	adj		civil (adj)	1000 adj
concreto	adj		concrete, real	1000 adj
conocido	adj		known, well-known	1000 adj
corriente	nf		current, flow (nf)	1000 adj
corto	adj		short, brief	1000 adj
cuánto	adj		how much?	1000 adj
cuarto	nm		room, chamber (nm)	1000 adj
dado	adj		given	1000 adj
debido: debido a	adj		due to	1000 adj
definitivo	adj		definitive, conclusive	1000 adj
determinado	adj		determined, fixed	1000 adj
diario	nm		newspaper (nm)	1000 adj
directo	adj		direct, straight	1000 adj
dispuesto	adj		willing, ready	1000 adj
diverso	adj		different, several, diverse	1000 adj
duro	adj		hard (adj)	1000 adj
enfermo	adj		ill, sick	1000 adj
entero	adj		entire, whole, complete	1000 adj
exacto	adj		exact, faithful, true	1000 adj
extraño	adj		strange, foreign	1000 adj
extraordinario	adj		extraordinary, exceptional	1000 adj
fácil	adj		easy	1000 adj
familiar	adj		familiar, of the family (adj)	1000 adj
famoso	adj		famous, well-known	1000 adj
feliz	adj		happy, fortunate	1000 adj
físico	adj		physical (adj)	1000 adj
francés	adj		French	1000 adj
frío	adj		cold (adj)	1000 adj
futuro	nm		future (nm)	1000 adj
grave	adj		serious, solemn	1000 adj
histórico	adj		historical	1000 adj
imposible	adj		impossible	1000 adj
inglés	adj		English	1000 adj
inmediato	adj		immediate	1000 adj
interesante	adj		interesting	1000 adj
interior	nm		interior, inside (nm)	1000 adj
interno	adj		internal	1000 adj
italiano	adj		Italian	1000 adj
justo	adv		just (adv)	1000 adj
lleno	adj		full, filled (as an object would de filled)	1000 adj
maestro	nm		teacher (m), master (nm)	1000 adj
mas	conj		but, however	1000 adj
material	nm		material, element (nm)	1000 adj
médico	nm/f		doctor (nm/f)	1000 adj
militar	adj		military (adj)	1000 adj
mínimo	adj		minimum (adj)	1000 adj
moderno	adj		modern	1000 adj
muerto	adj		dead (adj)	1000 adj
nacional	adj		national	1000 adj
normal	adj		normal, usual, regular	1000 adj
oscuro	adj		dark, obscure	1000 adj
parecido	adj		similar [also similar]	1000 adj
particular	adj		particular, peculiar (adj)	1000 adj
peor	adv		worse (adv)	1000 adj
perdido	adj		lost	1000 adj
perfecto	adj		perfect	1000 adj
personal	adj		personal (adj)	1000 adj
plano	nm		plane, map, level (nm)	1000 adj
pleno	adj		complete, fulfilled (as emotionally)	1000 adj
popular	adj		popular	1000 adj
preciso	adj		precise, necessary	1000 adj
presente	nm		present (nm)	1000 adj
privado	adj		private	1000 adj
profesional	adj		professional	1000 adj
puro	adj		pure, clean	1000 adj
rápido	adj		quick, fast	1000 adj
raro	adj		strange, rare, scarce	1000 adj
religioso	adj		religious	1000 adj
responsable	adj		responsible	1000 adj
rico	adj		rich, tasty	1000 adj
rojo	adj		red	1000 adj
sencillo	adj		simple, plain, easy	1000 adj
serio	adj		serious	1000 adj
simple	adj		simple, mere, simple-minded	1000 adj
suficiente	adj		sufficient, enough	1000 adj
superior	adj		superior, upper	1000 adj
supuesto	adj); por supuesto		supposed: of course	1000 adj
total	adj		total, entire (adj)	1000 adj
unido	adj		united	1000 adj
verde	adj		green	1000 adj
abajo	adv		down, below, downward	1000 adv
adelante	adv		forward, further	1000 adv
alrededor	adv		about, around, round (adv)	1000 adv
apenas	adv		hardly, barely	1000 adv
arriba	adv		up above	1000 adv
aun	adv		even (though), still	1000 adv
completamente	adv		completely	1000 adv
debajo	adv		underneath, below	1000 adv
delante	adv		in front of, ahead	1000 adv
detrás	adv		in the back	1000 adv
directamente	adv		directly, straight away	1000 adv
especialmente	adv		especially	1000 adv
exactamente	adv		exactly	1000 adv
finalmente	adv		finally, at last	1000 adv
inmediatamente	adv		immediately	1000 adv
jamás	adv		never	1000 adv
junto	adj		together (adj)	1000 adv
perfectamente	adv		perfectly	1000 adv
precisamente	adv		precisely	1000 adv
probablemente	adv		probably	1000 adv
recién	adv		recently, just	1000 adv
salvo	adv		except for, but	1000 adv
seguramente	adv		surely, securely	1000 adv
simplemente	adv		simply, just	1000 adv
siquiera	adv		even if	1000 adv
totalmente	adv		totally, completely	1000 adv
artista	nc		artist, performer	1000 nc
joven	nc		teenager, young person (nc)	1000 nc
modelo	nc		model, pattern	1000 nc
actitud	nf		attitude	1000 nf
altura	nf		height, altitude	1000 nf
autoridad	nf		authority	1000 nf
ayuda	nf		help, aid	1000 nf
boca	nf		mouth, entrance, opening	1000 nf
calidad	nf		quality	1000 nf
capacidad	nf		capacity	1000 nf
carne	nf		meat, flesh	1000 nf
carta	nf		letter, playing card	1000 nf
causa	nf		cause	1000 nf
ciencia	nf		science, knowledge	1000 nf
circunstancia	nf		circumstance	1000 nf
comida	nf		food, meal	1000 nf
compañía	nf		company	1000 nf
comunicación	nf		communication	1000 nf
conciencia	nf		conscience, consciousness	1000 nf
confianza	nf		confidence, trust	1000 nf
consecuencia	nf		consequence	1000 nf
construcción	nf		construction	1000 nf
conversación	nf		conversation	1000 nf
costumbre	nf		habit, custom, usage	1000 nf
cultura	nf		culture	1000 nf
decisión	nf		decision	1000 nf
defensa	nf		defense, plea	1000 nf
dificultad	nf		difficulty, obstacle	1000 nf
dirección	nf		direction, address	1000 nf
distancia	nf		distance	1000 nf
educación	nf		education	1000 nf
elección	nf		election, choice	1000 nf
empresa	nf		firm, company, venture	1000 nf
energía	nf		energy, power	1000 nf
enfermedad	nf		illness, sickness	1000 nf
entrada	nf		entrance, admission ticket	1000 nf
escuela	nf		school	1000 nf
esperanza	nf		hope	1000 nf
esposa	nf		wife	1000 nf
etapa	nf		stage, period	1000 nf
existencia	nf		existence, life	1000 nf
explicación	nf		explanation	1000 nf
expresión	nf		expression	1000 nf
fecha	nf		date, day	1000 nf
fiesta	nf		party, feast	1000 nf
