Phrase	Grammar	Transcription	Translation	Notes
видети			widzieć	
град	m		miasto	
главни град			stolica	
десни			prawy	
диван			piękny; wspaniały; dziwny	
длан	m		dłoń	
ера	f		era	
занимљив			interesujący	
зоолошки			zoologiczny	
зоолошки врт			ogród zoologiczny	
излетиште	n		miejsce odpoczynku poza miastem	
као	adv		tak jakby	
као	pro		jak	
кеј	m		nabrzeże	
колач	m		ciasto	
купати се			kąpać się	
леви			lewy	
музеј	m		muzeum	
обала	f		brzeg	
одмарати се			odpoczywać	
омиљен			ulubiony	
поглед	m		widok	
позивати			zapraszać	
познат			znany	
позориште	n		teatr	
Народно позориште			Teatr Narodowy	
посластичарница	f		kawiarnia; cukiernia	
прво	adv		najpierw; po pierwsze; przede wszystkim	
преко	prep		podczas; w trakcie; naprzeciw	
преко лета			latem	
преко зиме			zimą	
преко пута			naprzeciwko	
рад	f		praca	
разгледати			oglądać	
симбол	m		symbol	
сјајан			jaśniejący; błyszczący	
скулптор	m		rzeźbiarz	
споменик	m		pomnik	
сунчати се			opalać się	
стваран			prawdziwy	
стварно?			naprawdę?	
тврђава	f		twierdza	
чесма	f		źródło	
шетња	f		spacer	
један			jeden	
два			dwa	
три			trzy	
четири			cztery	
пет			pięć	
шест			sześć	
седам			siedem	
осам			osiem	
девет			dziewięć	
десет			dziesięć	
