Phrase	Grammar	Transcription	Translation	Notes
ad			imię; nazwa	
bina			budynek	
pis			brudny; ohydny	
bir			jeden	
mavi			niebieski	
ev			dom	
er			żołnierz; szeregowy	
evet			tak	
ne			co? jaki? co za?	
fena			zły; źle	
refika			żona; małżonka	
aile			rodzina	
anne			mama	
talebe			uczeń; student; słuchacz	
amele			robotnik	
muallim			nauczyciel; wykładowca	
sinema			kino	
kaç			ile	
birkaç			kilka	
burada			tutaj	
şurada			tam	
orada			tam	
nerede			gdzie?	
dolap			szafa	
söz			słowo	
çok			dużo	
bir çok			dużo; wiele	
az			mało	
biraz			niewiele	
çanta			teczka	
öz			rodzony; własny; osobisty	
öz ana			własna matka	
ön			przód; przednia część; przedni	
koridor			korytarz	
muallime			nauczycielka	
kalem			pióro do pisania	
dolma kalem			długopis	
kurşunkalem			ołówek	
ve			i	
merhaba			dzień dobry	
nöbetçi			dyżurny; wartownik	
üç			trzy	
üzüm			winogrona	
büfe			bufet	
füze			rakieta	
lira			lira (jednostka waluty)	
kuruş			kurusz; piastr	
sokak			ulica	
para			pieniądze; moneta	
ufak para			drobne pieniądze	
bozuk para			drobne; pieniądze żeby rozmienić	
saat			godzina; zegar	
uzak			daleki; daleko	
kat			piętro	
numara			numer; ocena szkolna	
Rus			rosjanin	
Ankara			Ankara	
Moskova			Moskwa	
İstanbul			Stambuł	
Amerika			Ameryka	
sınıf			klasa; rodzaj wojsk	
avlu			dwór	
doktor			doktor; lekarz	
filim			film	
burun			nos; przylądek	
alın			czoło	
resim			rysunek; obraz	
isim			imię	
sır			sekret; tajemnica	
zam			dodatek	
bilet			bilet	
akıl			rozum; rozsądek	
lokanta			stołówka; restauracja	
okul			szkoła	
konuşma			rozmowa; dialog	
altın			złoto; złoty	
taş			kamień; kamienny	
torun			wnuk; wnuczka	
akraba			krewny; krewni	
