Phrase	Grammar	Transcription	Translation	Notes
bu			ten; ta; to	
bina			budynek	
oda			pokój; izba	
kapı			drzwi	
duvar			ściana	
pencere			okno	
ne?			co?	
o			tamten; tamta; tamto	
ev			dom	
dersane			klasa; sala wykładowa	
masa			stół	
okul			szkoła	
sandaliye			krzesło	
karyola			łóżko	
şu			tamten; tamta; tamto	
adam			człowiek	
komutan			dowódca	
köylü			wieśniak	
memur			urzędnik	
doktor			doktor; lekarz	
kim?			kto?	
er			żołnierz	
müdür			kierownik; dyrektor	
subay			oficer	
ihtiyar			stary; starzec; staruszka	
kadın			kobieta	
kız			dziewczyna	
hasta			chory	
güzel			piękny	
evet			tak	
hayır			nie	
fabrika			fabryka	
hastane			szpital	
kışla			baraki	
postane			poczta; urząd pocztowy	
bir			jeden	
iki			dwa	
üç			trzy	
dört			cztery	
beş			pięć	
altı			sześć	
yedi			siedem	
sekiz			osiem	
dokuz			dziewięć	
on			dziesięć	
