Phrase	Grammar	Transcription	Translation	Notes
evet			yes	
istemek	v. 		to want	
-i tanımak	v. 		to know so.	
geç kalmak	v. 		to be late	
önemli	adj. 		important	
yolculuk	n. 		journey	
çabuk	adj. 		fast	
seyretmek	v. 		to watch, to look at	
uçak	n. 		airplane	
-i beklemek	v. 		to wait for	
çerez	n. 		appetizer, snack	
-i bırakmak	v. 		to leave stg., to stop doing stg.	
acele	n. 		hurry, haste	
halı	n. 		carpet	
özel	adj. 		specific, individual, private	
pazarlık yapmak	v. 		to haggle	
başlamak	v. 		to start	
kız	n. 		girl	
akşam yemeği	n. 		dinner	
ders	n. 		lesson	
kütüphane	n. 		library	
kalkmak	v. 		to get up, to stand	
yatmak	v. 		to go to bed	
ilk yardım	n. 		first aid	
kalabalık	adj. 		crowded	
anne	n. 		mother	
hasta	adj. 		ill	
sade	adj. 		plain (coffee)	
resim	n. 		picture	
iş	n. 		job, work	
ilginç	adj. 		interesting	
siyah	adj. 		black	
hazır	adj. 		ready	
çalışmak	v. 		to work	
yorgun	adj. 		tired	
haber	n. 		news	
aramak	v. 		to phone, to seek	
sormak	v. 		to ask	
affetmek	v. 		to forgive	
tam	adj.		whole, full, exactly, just	
satmak	v. 		to sell	
sarı	adj. 		yellow	
getirmek	v. 		to bring	
orta	adj.		middle, moderate, average	
hiç			any, none, at all	
öğle yemeği 	n. 		lunch	
Pazar			Sunday	
otuz			30	
unutmak	v. 		to forget	
cüzdan	n. 		purse, wallet	
meşgul	adj. 		busy	
keşfetmek	v. 		to discover	
muz	n. 		banana	
kardeş	n. 		sibling	
sıkıcı	adj. 		boring	
ağlamak	v. 		to cry	
memur	n. 		official, employee, clerk	
bitmek	v. 		to end	
elli			50	
girmek	v. 		to enter	
sarhoş	adj. 		drunk	
atmak	v. 		to throw, to pound	
çimenler	n. 		grass	
yetmiş			70	
kutu	n. 		box	
kaybetmek	v. 		to lose	
anahtar	n. 		key	
emin	adj. 		sure	
-la buluşmak	v. 		to meet, to come together	
bozuk	adj.		broken	
hatırlamak	v. 		to remember	
-a yakın	adj. 		near, close to	
yavaş	adj. 		slow, quiet	
bakkal	n. 		grocery store	
ekmek	n. 		(loaf of) bread	
salam	n. 		salami	
sucuk	n. 		sausage	
güzel	adj. 		nice, beautiful	
yeşil	adj. 		green	
zeytin	n. 		olive	
bir			1	
iki			2	
üç			3	
dört			4	
altı			6	
yedi			7	
sekiz			8	
dokuz			9	
on			10	
beyaz	adj. 		white	
memnun	adj. 		glad	
sıcak	adj. 		hot	
soğuk	adj. 		cold	
büyük	adj. 		big	
küçük	adj. 		small	
boş	adj. 		empty	
zor	adj. 		difficult	
kolay	adj. 		easy	
değil	adv.		not	
sıfır			0	
bira	n. 		beer	
şişe	n. 		bottle	
viski	n. 		whiskey	
patates	n. 		potato	
oda	n. 		room	
kuaför	n. 		hairdresser	
yarım	adj.		half	
süt	n. 		milk	
taze	adj. 		fresh	
maalesef	adv.		unfortunately	
Tamam.			Okay.	
hepsi			all of them	
bin			1000	
ad	n. 		name, noun	
milliyet	n. 		nationality	
Kim?			Who?	
Ne?			What?	
Nerede?			Where?	
Ne zaman?			When?	
Nasıl?			How?	
Kaç tane?			How many?	
uzun	adj. 		long	
eş	n. 		spouse	
kişi	n. 		person	
kısa	adj. 		short	
ama			but	
pahalı	adj. 		expensive	
kapalı	adj. 		closed, cloudy, off (phone)	
fena	adj. 		bad, evil, sick	
açık	adj. 		open, light (color)	
ucuz	adj. 		cheap	
şarap	n. 		wine	
saç	n. 		hair	
ev	n.		house	
şef	n. 		chief, leader, master (arts)	
bay	adj. 		male	
bayan	adj. 		female	
soyad	n. 		surname	
doğum	n. 		birth (baby)	
tarih	n. 		date, history	
meslek	n. 		profession	
geliş	n. 		arrival	
gidiş	n. 		departure, behavior	
piliç	n. 		chicken	
aynı	adj.		the same, equal	
masa	n. 		table	
köşe	n. 		corner	
ve			and	
buz	n.		ice	
hemen	adv.		right away, just about to	
kavun	n. 		melon	
patlıcan	n. 		eggplant	
yeter	adj.		enough, sufficient	
daha	adj.		more	
Şerefe!			Cheers!	
gelmek	v. 		to come, to arrive	
yapmak	v. 		to do, to make	
koymak	v. 		to put	
gülmek	v. 		to laugh	
oturmak	v. 		to sit, to reside	
kitap	n. 		book	
dolap	n. 		closet	
sokak	n. 		street	
raf	n. 		shelf	
mutfak	n. 		kitchen	
vermek	v. 		to give	
içmek	v. 		to drink	
yemek	v. 		to eat	
erken	adj. 		early	
para	n. 		money	
tuz	n. 		salt	
kullanmak	v. 		to use, to drive	
kedi	n. 		cat	
mutlu	adj. 		happy	
aile	n. 		family	
meydan	n. 		plaza, square	
sol	adj. 		left (direction)	
sağ	adj.		alive	
dönmek	v. 		to turn, to return	
cami	n. 		mosque	
düz	adv.		straight	
lokanta	n. 		restaurant	
-dan uzak	adj. 		far away from	
fabrika	n. 		factory	
halk	n. 		the public, folk	
yol	n. 		road, path, way	
yaya	n. 		pedestrian	
dondurma	n. 		ice cream	
şeker	n. 		sugar, candy	
hesap	n. 		bill (restaurant)	
de			also	
bilmek	v. 		to know	
konuşmak	v. 		to speak	
mavi	adj. 		blue	
dakika	n. 		minute	
sevmek	v. 		to like, to love	
hemen hemen	adv.		almost	
şaka	n. 		joke	
dükkân	n. 		store	
araba	n. 		car	
yarın	n.		tomorrow	
geçmek	v. 		to pass	
her			every, each	
oynamak	v. 		to play	
fark	n. 		difference	
sürmek	v. 		to drive, to expel, to last	
koşmak	v. 		to run	
müdür	n. 		director, boss	
duş	n. 		shower	
kibrit	n. 		match (stick)	
manzara	n. 		view (scenery)	
hastane	n. 		hospital	
başkent	n. 		capital (of a country)	
kirli	adj. 		dirty	
baba	n. 		father	
oğul	n. 		son	
dil	n. 		language, tongue	
teyze	n. 		maternal aunt	
bugün	n.		today	
kuzen	n. 		cousin	
torun	n. 		grandchild	
X yaşında	adj.		X years old	
bütün	adj.		whole	
olmak	v. 		to be, to become	
kahverengi	adj. 		brown	
domates	n. 		tomato	
havuç	n. 		carrot	
portakal	n. 		orange	
turuncu	adj. 		orange (color)	
O zaman			In that case...; Then...	
en son	adj.		last, recent	
fiyat	n. 		price, cost	
fiş	n. 		receipt	
zengin	adj. 		rich	
saat	n. 		hour, time	
buçuk			- and a half, half past (time)	
maden	n. 		mine, quarry	
binmek	v. 		to board	
