Phrase	Grammar	Transcription	Translation	Notes
anıt			pomnik
balık			ryba
bıçak			nóż
biçmek			ciąć; kroić
bilezik			bransoletka
bu			ten; ta; to; ci
bütün			cały; wszystek
çilek			trustawka
dokuz			dziewięć
ekmek			chleb
elek			sito
(bir şeyi) getirmek			przynosić
(birini, bir şeyi) göstermek			pokazywać
götürmek			odnosić
hazır			gotowy
hazine			zapas; skład
kapak			przykrywka
kaşık			łyżka
kelebek			motyl
kelime			słowo
kızak			sanie
kullanmak			używać
makas			nożyce
mektep			szkoła
o			tamten; tamta; tamto; tamci
ok			strzała
okul			szkoła
ölçmek			mierzyć
peynir			ser
sokak			ulica
şu			tamten tam; tamta tam; tamto tam; tamci tam
tabak			talerz
tamamlamak			uzupełniać
tarak			grzebień
tekerlek			koło
tutmak			trzymać
tümce			zdanie	gram.
üçüncü			trzeci
yaprak			arkusz
yelek			kamizelka
yumak			kłębek
yük			ładunek
yüzük			pierścień
