Phrase	Grammar	Transcription	Translation	Notes
ad	N		imię	
isim	N		imię	
ağaç	N		drzewo	
alkol	N		alkohol	
Almanya	N		Niemcy	
anneler günü	N		dzień matki	
araba	N		wóz; samochód	
arkadaş	N		przyjaciel	
avukat	N		adwokat	
Avusturya	N		Austria	
az			mało; rzadko	
baba	N		ojciec	
bahçe	N		ogród	
balık	N		ryba	
banka	N		bank	
bardak	N		puchar; szklanka	
bay	N		pan	
bayan	N		pani	
bayram	N		święto	
bebek	N		niemowlę	
bey	N		pan	
bilet	N		bilet	
bilgisayar	N		komputer	
bulaşık			brudny	
büro	N		biuro	
büyük			duży	
cami	N		meczet	
cetvel	N		linijka	
ceviz	N		orzech	
çamaşır			pranie	
çanta	N		torba	
çarşı	N		targowisko	
çay	N		herbata	
çiçek	N		kwiat	
Çin	N		Chiny	
çocuk	N		dziecko	
çok			dużo; bardzo	
defter	N		zeszyt	
deniz	N		morze	
ders	N		lekcja	
doğum günü	N		urodziny	
doktor	N		lekarz	
dolap	N		szafa	
düğün	N		wesele	
eczane	N		apteka	
ekmek	N		chleb	
elbise	N		suknia	
elma	N		jabłko	
erkek	N		mężczyzna	
ev	N		dom	
fare	N		mysz	
fındık	N		orzech laskowy	
fırça	N		szczotka; pędzel	
film	N		film	
Fransa	N		Francja	
futbolcu	N		piłkarz	
garson	N		kelner	
göz	N		oko	
gül	N		róża	
güzel			ładny; piękny; dobry	
hâl	N		stan; położenie	
halı	N		dywan	
hanım	N		pani; małżonka	
hastalık	N		choroba	
havuç	N		marchew	
hayal	N		przywidzenie	
hemşire	N		pielęgniarka	
hiç			jakiś; żaden	
ıspanak	N		szpinak	
ızgara	N		pieczeń	
ideal			idealny; ideał	
inek	N		krowa	
İngiltere	N		Anglia	
insan	N		człowiek	
İspanya	N		Hiszpania	
iş	N		praca	
İtalya	N		Włochy	
Japonya	N		Japonia	
jeton	N		żeton	
jilet	N		żyletka	
kadın	N		kobieta	
kafe	N		kawiarnia	
kahve	N		kawa	
kalabalık			tłok; ścisk	
kalem	N		ołówek; długopis; pióro	
kalp	N		serce	
kapı	N		drzwi; brama	
kedi	N		kot	
kız	N		dziewczyna; córka	
kira	N		czynsz; najem	
kişi	N		osoba; ktoś	
kitap	N		książka	
koltuk	N		fotel	
Kore	N		Korea	
köpek	N		pies	
köy	N		wieś	
kuş	N		ptak	
kutu	N		pudełko	
kütüphane	N		biblioteka; księgarnia	
lale	N		tulipan	
limon	N		cytryna	
lokanta	N		restauracja	
lütfen			proszę	
mağaza	N		duży sklep	
makas	N		nożyce	
masa	N		stół	
merdiven	N		schody	
meşgul			zajęty	
metro	N		metro	
millet	N		naród	
misal	N		przykład	
mühendis	N		inżynier	
nar	N		granat	owoc
Nijerya	N		Nigeria	
numara	N		numer	
oda	N		pokój	
orman	N		las	
otel	N		hotel	
otobüs	N		autobus	
öğrenci	N		uczeń	
öğretmen	N		nauczyciel	
ördek	N		kaczka	
paket	N		paczka	
para	N		pieniądze	
pardösü	N		płaszcz; jesionka	
park	N		park	
patates	N		ziemniaki; kartofle	
pencere	N		okno	
petrol	N		ropa naftowa	
piyano	N		fortepian	
polis	N		policja	
portakal	N		pomarańcza	
postacı	N		listonosz	
radyo	N		radio	
resim	N		obraz; rysunek	
rol	N		rola	
roman	N		powieść	
Rusya	N		Rosja	
saat	N		godzina; zegar; czas	
saç	N		blacha	
salon	N		salon	
sandalye	N		krzesło	
sembol	N		symbol	
seyahat	N		podróż	
sıra	N		szereg; ławka	
silgi	N		gumka do ścierania	
sokak	N		ulica	
soru	N		pytanie	
sorun	N		problem	
sözlük	N		słownik	
Suriye	N		Syria	
şarkıcı	N		śpiewak; piosenkarz	
şemsiye	N		parasol	
şişe	N		butelka	
tahta	N		deska	
tavuk	N		kura	
telefon	N		telefon	
temiz			czysty	
top	N		piłka	
turist	N		turysta	
Türkiye	N		Turcja	
uçak	N		samolot	
uçurtma	N		latawiec	
üzüm	N		winogrono	
vagon	N		wagon	
vazo	N		wazon	
yabancı	N		cudzoziemiec; obcokrajowiec	
yemek	N		jedzenie	
yeni yıl	N	Nowy Rok	
yıldız	N		gwiazda	
yüzük	N		pierścień	
zeytin	N		oliwka	
zürafa	N		żyrafa	
etmek	V		robić	
gelmek	V		przychodzić	
görüşmek	V		spotkać się	
olmak	V		stać się	
Affedersiniz.			Przepraszam.	
Afiyet olsun.			Smacznego!	
Bol şanslar.			Powodzenia!	
Çok yaşa.			Na zdrowie!	
Geçmiş olsun.			Wracaj do zdrowia.	
Görüşürüz.			Do zobaczenia wkrótce!	
Görüşmek üzere.			Do zobaczenia wkrótce!	
Güle güle.			Do widzenia!	
Günaydın.			Dzień dobry.	
Hoş bulduk.			Dziękuję bardzo!	
Hoş geldin.			Witaj!	
Hoşça kal.			Cześć!	
Lütfen.			Proszę!	
Merhaba.			Dzień dobry!	
Özür dilerim.			Przepraszam!	
Rica ederim.			Proszę bardzo!	
Tamam.			W porządku!	
Tebrikler.			Najlepsze życzenia!	
Üzgünüm.			Niestety!	
