Phrase	Grammar	Transcription	Translation	Notes
gitmek	V		odejść	
gelmek	V		przyjść	
arkadaş	N		towarzysz	
iyi	A		dobry	
kötü	A		zły	
çalışma	N		praca	
oda	N		pokój; izba	
duvar	N		ściana	
pencere	N		okno	
perde	N		zasłona	
masa	N		stół	
sandalye	N		krzesło	
gün	N		dzień	
gece	N		noc	
gök	N		niebo	
güneş	N		słońce	
ay	N		księżyc	
yıldız	N		gwiazda	
bulut	N		chmura	
deniz	N		morze	
toprak	N		ziemia	
dağ	N		góra	
hava	N		powietrze	
su	N		woda	
nehir	N		rzeka	
ağaç	N		drzewo	
orman	N		las	
şehir	N		miasto	
sokak	N		ulica	
ev	N		dom	
kapı	N		drzwi	
kilit	N		zamek	
anahtar	N		klucz	
merdiven	N		schody	
ülke	N		kraj	
vatan	N		ojczyzna	
dünya	N		świat	
zaman	N		czas	
saat	N		godzina	
renk	N		kolor	
ses	N		dźwięk	
ısı	N		ciepło	
soğuk	N		zimno	
