Phrase	Grammar	Transcription	Translation	Notes
acaba			zastanawiam się czy może?	
açık			otwarty	
açmak			otwierać	
ad			nazwa	
adam			człowiek	
adres			adres	
affetmek			wybaczyć	
afiyet			zdrowie	
ağaç			drzewo	
alfabe			alfabet	
Almanca			niemiecki	
Almanya			Niemcy	
altı			sześć	
altıncı			szósty	
altmış			sześćdziesiąt	
altmış iki			sześćdziesiąt dwa	
anahtar			klawisz	
Ankara			Ankara	
anlamak			zrozumieć	
anne			matka	
araba			samochód	
Arap			arabski	
Arapça			język arabski	
arkadaş			przyjaciel	
Arnavut			albański	
Arnavutça			język albański	
Arnavutluk			Albania	
askı			wieszak	
Astana			Astana	
et			mięso	
ayakkabı			but	
ayakkabılık			stojak na buty	
bahçıvan			ogrodnik	
balık			ryba	
balıkçı			rybak	
bardak			szkło	
basit			prosty	
başka			inny	
başkent			stolica	
bavul			walizka	
bebek			dziecko	
beceri			umiejętność	
Belçika			Belgia	
ben			ja	
beş			pięć	
beşinci			piąty	
beyaz			biały	
beyefendi			proszę pana	
bilet			bilet	
bilgi			informacja	
bilgisayar			komputer	
bilmek			wiedzieć	
bin			tysiąc	
bir			jeden	
bir milyon			milion	
birinci			pierwszy	
Bosna-Hersek			bośniacko-hercegowiński	
Bosna-Hersekli			Bośnia i Hercegowina	
boş			pusty	
boşluk			przestrzeń	
boy			rozmiar	
boyacı			malarz	
bölüm			sekcja	
Brüksel			Bruksela	
bu			ten	
Bulgar			bułgarski	
Bulgarca			język bułgarski	
Bulgaristan			bułgaria	
bulmak			znaleźć	
bura			tutaj	
buyurmak			przepisać	
Bükreş			Bukareszt	
büyük			duży	
cadde			ulica	
cam			sosna	
cami			meczet	
can			życie	
canlandırmak			wskrzesić	
cep			kieszeń	
cep telefonu			telefon komórkowy	
cetvel			linijka	
cüzdan			torebka	
çanta			torba	
çatal			widelec	
çay			herbata	
çıkış			wyjście	
çıkmak			odejść	
çiçek			kwiat	
çilek			truskawka	
Çin			chiński	
Çinli			Chińczyk	
çocuk			dziecko	
çok			bardzo	
çorap			skarpetka	
defter			zeszyt	
değerlendirme			ocena	
değerlendirmek			ocenić	
değil			nie	
ders			lekcja	
dil			język	
dil bilgisi			gramatyka	
dinlemek			słuchać	
diyalog			dialog	
doğru			prawda	
doğum tarihi			data urodzenia	
doğum yeri			miejsce urodzenia	
doksan			dziewięćdziesiąt	
doktor			lekarz	
dokuz			dziewięć	
doldurmak			wypełnić	
domates			pomidory	
döner			obrotowy	
dört			cztery	
durak			zatrzymywać się	
durum			sytuacja	
duvar			ściana	
dünya			świat	
efendi			gospodarz	
ekmek			chleb	
el			ręka	
elbise			sukienka	
edine sağlık			powodzenia	
elli			pięćdziesiąt	
elma			jabłko	
elveda			pożegnanie	
emekli			emerytowany	
eşleştirmek			pasować	
et			mięso	
ev			dom	
evet			tak	
fare			mysz	
fatura			faktura	
fındık			orzech laskowy	
fırın			piekarnik	
fil			słoń	
form			formularz	
fotoğraf			fotografia	
fotoğraf makinesi			aparat fotograficzny	
Fransa			Francja	
Fransız			francuski	
Fransızca			język francuski	
futbol			piłka nożna	
gazete			gazeta	
gemi			łódź	
gömlek			koszula	
görevli			oficer	
görsel			wizualny	
görüşmek			spotkać	
görüşmek üzere			do zobaczenia później	
gözlük			okulary	
güle güle			do widzenia	
gün			dzień	
günaydın			dzień dobry	
güneş			słońce	
Gürcistan			Gruzja	
Gürcü			gruziński	
Gürcüce			język gruziński	
harf			list	
harita			mapa	
hastane			szpital	
havlu			ręcznik	
haydi			pospiesz się	
hayır			nie	
hazırlık			przygotowanie	
hemşire			pielęgniarka	
herkes			wszyscy	
horoz			kogut	
Hoş bulduk.			Dziękuję.	
Hoş geldiniz.			Witam.	
Hoşça kal.			Do widzenia.	
ıhlamur			lipa	
ırmak			rzeka	
ispanak			szpinak	
ışık			światło	
ızgara			grill	
iki			dwa	
ikinci			drugi	
ilkbahar			wiosna	
imza			podpis	
ince			cienki	
incelemek			zbadać	
incir			figa	
İngiliz			angielski	
İngilizce			język angielski	
İngiltere			Anglia	
insan			osoba	
internet			internet	
İstanbul			Stambuł	
İstanbullu			ze Stambułu	
işaret			podpis	
işaretlemek			podpisać	
İtalya			Włochy	
İtalyan			włoski	
İtalyanca			język włoski	
iyi			dobry	
jandarma			żandarm	
Japon			japoński	
Japonca			język japoński	
Japonya			Japonia	
jeton			znak	
jilet			żyletka	
jokey			dżokej	
kadın			kobieta	
kahvaltı			śniadanie	
kalem			pióro	
kalın			gruby	
kalıp			wzór	
kanepe			kanapa	
kapalı			zamknięte	
kapatmak			zamknąć	
karpuz			arbuz	
karşı			naprzeciwko	
karşılaşmak			spotkać	
karşılık			naprzeciwko	
