Phrase	Grammar	Transcription	Translation	Notes
tài xế			szofer; kierowca
cô			młoda kobieta; pani
lên			wsiadać
bao nhiêu			ile
tiền			pieniądze
đô-la			dolar
đô			dolar
được			w porządku
đến			przybyć do
rồi			już
gửi			dać	(N)
gởi			dać	(S)
giá			cena
được			musieć
tuổi			wiek
chè			herbata	(N)
trà			herbata	(S)
ăn			eat
thuê			wynająć	(N)
mướn			wynająć	(S)
phòng			pokój
trong			w
còn			ciągle mieć
trống			wolny; niezajęty
phòng đơn			pokój pojedynczy
phòng đôi			pokój podwójny
ạ			partykuła finalna wyrażająca uprzejmość
cho			dać
phải			musieć
trả			płacić
đêm			noc
máy điều hòa			klimatyzator	(N)
máy lạnh			klimatyzator	(S)
ti-vi			telewizor
truyền hình			telewizor
điện thoại			telefon
vòi hoa sen			prysznic
nóng			gorący
lạnh			zimny
bồn tắm			wanna
tốt			dobry
sẽ			będzie	marker czasu przyszłego
mấy			ile
ngày			dzień
tuần			tydzień
ở			być w
tầng			piętro	(N)
lầu			piętro	(S)
tháng			miesiąc
con			własne dziecko
hai (mươi) mốt			dwadzieścia jeden
hai (mươi) hai			dwadzieścia dwa
hai (mươi) ba			dwadzieścia trzy
hai (mươi) tư/bốn			dwadzieścia cztery
hai (mươi) lăm			dwadzieścia pięć
hai (mươi) sáu			dwadzieścia sześć
hai (mươi) bảy			dwadzieścia siedem
hai (mươi) tám			dwadzieścia osiem
hai (mươi) chín			dwadzieścia dziewięć
ba mươi			trzydzieści
ba (mươi) mốt			trzydzieści jeden
ba (mươi) hai			trzydzieści dwa
ba (mươi) ba			trzydzieści trzy
ba (mươi) tư/bốn			trzydzieści cztery
ba (mươi) lăm			trzydzieści pięć
ba (mươi) sáu			trzydzieści sześć
ba (mươi) bảy			trzydzieści siedem
ba (mươi) tám			trzydzieści osiem
ba (mươi) chín			trzydzieści dziewięć
bốn mươi			czterdzieści
một trăm			sto
một trăm lỉnh/lẻ năm			sto pięć
một nghìn/ngàn			tysiąc
một nghìn/ngàn không trăm linh/lẻ năm			tysiąc pięć
chìa khóa			klucz
mang			nosić; przynieść
lên			do góry
à này			przy okazji
nhà hàng			restauracja
đi ra			wyjść na zewnątrz
có			jest; istnieje
bên cạnh			obok; przy
nhưng			ale
bữa sáng			śniadanie
miễn phí			za darmo
phòng ăn			jadalnia
sáng mai			jutro rano
xuống			zejść na dół
dưới			poniżej; pod
thang máy			winda
đi theo			iść za
sáng			poranek	od 3-ej do 10-ej rano
trưa			południe	od 11-ej rano do 2-ej po południu
chiều			popołudnie	od 3-ej do 6-ej po południu
tối			wieczór	od 7-ej do 9-ej wieczorem
đêm			noc	od 10-ej w nocy do 2-ej rano
bữa trưa			obiad
bữa tối			kolacja
sáng mai			jutro rano
sáng nay			dziś rano
trưa nay			dziś w południe
chiều nay			dziś wieczorem
tối nay			dziś w nocy
hôm nay			dzisiaj
ngày mai			jutro
hôm qua			wczoraj
ăn sáng			jeść śniadanie
ăn trưa			jeść obiad
ăn tối			jeść kolację
đẹp			piękny; ładny
sạch sẽ			czysty
nhỏ			mały
thưa			partykuła grzecznościowa przed zwróceniem się do osoby
để			położyć
ít			trochę
cà-phê			kawa
